animeTitle	Kore wa Zombie Desu ka? OVA
animeType	OVA
animeNumEpisode	2
releaseDate	2011-06-10 00:00:00
endDate	2012-04-24 00:00:00
animeNumMembers	
animeScore	7.4
animeUsers	67658
animeRank	
animePopularity	1379
animeDescription	Two OVAs released with the 8th and 10th volumes of the original novel. They fall chronologically between the first and second seasons.
animeRelated	['Kore wa Zombie desu ka?', 'Kore wa Zombie Desu ka?', 'Kore wa Zombie Desu ka? of the Dead']
animeCharacters	['Hellscythe, Eucliwood', 'Aikawa, Ayumu', 'Seraphim', 'Haruna', 'Yoshida, Yuki', 'Sarasvati', 'Hiramatsu, Taeko', 'Ariel', 'Orito', 'Shimomura']
animeVoices	['Hisakawa, Aya', 'Majima, Junji', 'Hikasa, Youko', 'Nomizu, Iori', 'Kanemoto, Hisako', 'Kitaoka, Chiharu', 'Yamaguchi, Rie', 'Shimizu, Ai', 'Yoshino, Hiroyuki', 'Takizawa, Itsuki']
animeStaff	[['Kanasaki, Takaomi', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Tagashira, Shinobu', 'Storyboard, Character Design'], ['Nomizu, Iori', 'Theme Song Performance']]
