animeTitle	Ajimu: Kaigan Monogatari
animeType	ONA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	5511
animeRank	
animePopularity	4701
animeDescription	"Seventeen year old Nakaido Hirosuke is just your average high school student. One morning as he arrives at the train station on his way to school, he catches sight of a beautiful girl, Ajimu Yasuna, and immediately falls for her. The two of them get to know each other and become friends, but he can't confess his feelings and she is unsure of hers. As events and other people present obstacles for the potential couple to clear, their relationship begins to develop and their feelings become clear.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Yasuna, Ajimu', 'Hirosuke, Nakaido', 'Yuuma, Otomine', 'Takemoto, Suzue', 'Akizuki, Kyouko', 'Kazuki, Izumiya']
animeVoices	['Chiba, Saeko', 'Ishida, Akira', 'Madono, Mitsuaki', 'Miyamura, Yuko', 'Mitsuishi, Kotono', 'Morikubo, Shoutarou']
animeStaff	[['Chiba, Saeko', 'Theme Song Performance'], ['Mutou, Yasuyuki', 'Series Composition'], ['Sano, Takashi', 'Key Animation'], ['Fujiyama, Fusanobu', 'Planning']]
