animeTitle	Dallyeola Hani
animeType	TV
animeNumEpisode	13
releaseDate	1988-08-14 00:00:00
endDate	1988-11-20 00:00:00
animeNumMembers	687
animeScore	6.66
animeUsers	156
animeRank	5274
animePopularity	12111
animeDescription	"Hany is a small tomboy and slightly troublesome teenager who lives life a bit carelessly on her own since her Father lives abroad due to work in the Middle East and her Mother died when she was very small. The only thing Hany is very good at is running~ fast! Hong Du-kke is a new track and field coach of her school and takes notice in her talent and gets her to train with him.

(Source: Cute in Korea)"
animeRelated	['Cheonbangjichuk Hani']
animeCharacters	['Hong, Du-Kaek', 'Hany']
animeVoices	[]
animeStaff	[]
