animeTitle	Brothers Conflict OVA
animeType	OVA
animeNumEpisode	2
releaseDate	2014-12-19 00:00:00
endDate	2015-02-11 00:00:00
animeNumMembers	24381
animeScore	6.58
animeUsers	11800
animeRank	5688
animePopularity	3651
animeDescription	"Two Brothers Conflict OVAs about Christmas and Valentine's Day. New OP and ED songs by the same singers were presented in these two OVAs.

(Source: MAL News, edited)"
animeRelated	['Brothers Conflict']
animeCharacters	['Asahina, Tsubaki', 'Asahina, Natsume', 'Asahina, Yuusuke', 'Asahina, Fuuto', 'Asahina, Azusa', 'Asahina, Subaru', 'Asahina, Louis', 'Hinata, Ema', 'Asahina, Iori', 'Asahina, Kaname']
animeVoices	['Suzumura, Kenichi', 'Maeno, Tomoaki', 'Hosoya, Yoshimasa', 'KENN', 'Toriumi, Kousuke', 'Ono, Daisuke', 'Takeuchi, Ken', 'Satou, Rina', 'Namikawa, Daisuke', 'Suwabe, Junichi']
animeStaff	[['Marchi, Jamie', 'Script'], ['Kamiya, Hiroshi', 'Theme Song Performance'], ['Kaji, Yuki', 'Theme Song Performance'], ['Ono, Daisuke', 'Theme Song Performance']]
