animeTitle	Bokutachi wa Benkyou ga Dekinai!: Chapel no Kane wa [X] wo Shukufuku Suru
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.36
animeUsers	14237
animeRank	
animePopularity	3262
animeDescription	"Bundled with the limited edition volume 16.

The episode features an original premise where Fumino, Mafuyu, Uruka, Rizu, and Asumi are taking part in a wedding ceremony.

(Source: MAL News)"
animeRelated	['Bokutachi wa Benkyou ga Dekinai!']
animeCharacters	['Furuhashi, Fumino', 'Kirisu, Mafuyu', 'Takemoto, Uruka', 'Ogata, Rizu', 'Kominami, Asumi', 'Yuiga, Nariyuki', 'Sekijou, Sawako', 'Kobayashi, Haruma', 'Umihara, Chinami']
animeVoices	['Shiraishi, Haruka', 'Lynn', 'Suzushiro, Sayumi', 'Tomita, Miyu', 'Asahina, Madoka', 'Oosaka, Ryouta', 'Oonishi, Saori', 'Kawanishi, Kengo', 'Asumi, Kana']
animeStaff	[]
