animeTitle	Kinnikuman (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	1984-07-14 00:00:00
endDate	
animeNumMembers	1154
animeScore	6.33
animeUsers	317
animeRank	7053
animePopularity	10783
animeDescription	Mari and Kinnikuman's Championship Belt are stolen by the Octopus Dragon and his minions. Now Kinnikuman and the other Justice Choujins must travel to Planet Metro and compete in a tournament in order to win them back.
animeRelated	['Kinnikuman', 'Kinnikuman: Ooabare! Seigi Choujin']
animeCharacters	['Kinniku, Suguru', 'Alexandria Meat', 'Robin Mask', 'Ramenman, Victory', 'Warsman', 'Brocken Jr.', 'Terryman', 'Kinkotsuman', 'Iwao', 'Yosaku']
animeVoices	['Kamiya, Akira', 'Matsushima, Minori', 'Gouri, Daisuke', 'Kanie, Eiji', 'Hori, Hideyuki', 'Mizutori, Tetsuo', 'Tanaka, Hideyuki', 'Futamata, Issei', 'Satou, Masaharu']
animeStaff	[['Tamiya, Takeshi', 'Producer'], ['Shirato, Takeshi', 'Director'], ['Kamiya, Akira', 'Theme Song Performance, Inserted Song Performance'], ['Serizawa, Hiroaki', 'Theme Song Composition']]
