animeTitle	Doraemon Movie 39: Nobita no Getsumen Tansaki
animeType	Movie
animeNumEpisode	1
releaseDate	2019-03-01 00:00:00
endDate	
animeNumMembers	2695
animeScore	7.22
animeUsers	1283
animeRank	2769
animePopularity	8722
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Doraemon (2005)']
animeCharacters	['Doraemon', 'Nobi, Nobita', 'Minamoto, Shizuka', 'Honekawa, Suneo', 'Gouda, Takeshi', 'Tsukino, Luca', 'Diablo', 'Goddart', 'Club', 'Cancer']
animeVoices	['Mizuta, Wasabi', 'Oohara, Megumi', 'Kakazu, Yumi', 'Seki, Tomokazu', 'Kimura, Subaru', 'Minagawa, Junko', 'Yoshida, Koutarou', 'Yagira, Yuuya', 'Takahashi, Shigeo', 'Nakaoka, Souichi']
animeStaff	[['Yakuwa, Shinnosuke', 'Director'], ['Tsujimura, Mizuki', 'Script'], ['Hirai, Dai', 'Theme Song Performance'], ['Fujiko, Fujio F.', 'Original Creator']]
