animeTitle	Future Card Buddyfight Triple D
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	1508
animeRank	
animePopularity	7934
animeDescription	Third season of Future Card Buddyfight.
animeRelated	['Future Card Buddyfight Hundred', 'Future Card Buddyfight Battsu', 'Tobidase!! Buddy-kun']
animeCharacters	['Ryuuenji, Tasuku', 'Mikado, Gaou', 'Kurouzu, Gaito', 'Bal', 'Jackknife Dragon', 'Abigail', 'Kurodake, Tetsuya', 'Aragami, Rouga', 'Gaen, Kyouya', 'Hyouryuu, Kiri']
animeVoices	['Saitou, Souma', 'Mizuno, Marie', 'Aoi, Shouta', 'Muranaka, Tomo', 'Yasumoto, Hiroki', 'Kuroda, Takaya']
animeStaff	[['Itou, Tatsufumi', 'Storyboard'], ['Aoi, Shouta', 'Theme Song Performance'], ['Tokui, Sora', 'Theme Song Performance'], ['Kidani, Takaaki', 'Executive Producer']]
