animeTitle	Seupideuwang Beongae
animeType	TV
animeNumEpisode	26
releaseDate	1998-05-18 00:00:00
endDate	1998-08-18 00:00:00
animeNumMembers	576
animeScore	6.12
animeUsers	183
animeRank	8079
animePopularity	12575
animeDescription	Lightning Khan and a group of elementary school students compete against another team in a game of rollerblades and RC car racing as they plan to attend the National convention.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
