animeTitle	Lu Shidai
animeType	ONA
animeNumEpisode	14
releaseDate	2013-10-11 00:00:00
endDate	2014-09-13 00:00:00
animeNumMembers	5266
animeScore	6.5
animeUsers	1325
animeRank	6138
animePopularity	6849
animeDescription	Zhiquiang is a young boy who loves playing League of Legends with his friends. Follow his crazy adventures.
animeRelated	['Lu Shidai 2nd Season']
animeCharacters	['Sun, Yanan', 'Wu, Jiu', 'Mao, Tiantian', 'Ye, Jiaoyang', 'Mao, Zhiqiang', 'Lu, Shaolong', 'Li, Xingzi']
animeVoices	[]
animeStaff	[['Li, Haoling', 'Director']]
