animeTitle	Last Orders
animeType	Special
animeNumEpisode	1
releaseDate	1997-10-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.78
animeUsers	710
animeRank	
animePopularity	10393
animeDescription	"The 60-second film features six fierce samurai who rush through a post-futuristic megalopolis using the most unpredictable means of transport (including a kite!) as to make it on time for the last order at their favorite pub.

(Source: Production I.G)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
