animeTitle	b'Zannen na Ikimono Jiten'
animeType	b'TV'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'The book series offers humourous introductions to surprising aspects of living creatures, such as ""raccoons don\'t really wash their food,"" and ""dolphins would drown if they fall completely asleep."" \n\n(Source: ANN)'"
animeRelated	[b'Zannen na Ikimono Jiten (Special)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
