animeTitle	b'Precure Super Stars! Movie'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.79
animeUsers	726
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Precure All Stars Movie: Haru no Carnival\xe2\x99\xaa - Ima Koko kara', b'Mahoutsukai Precure!', b'Precure All Stars Movie: Minna de Utau\xe2\x99\xaa - Kiseki no Mahou', b'Kirakira\xe2\x98\x86Precure A La Mode', b'Precure Dream Stars! Movie', b'Hug tto! Precure']
animeCharacters	[b'Nono, Hana', b'Kotozume, Yukari', b'Asahina, Mirai', b'Kenjou, Akira', b'Usami, Ichika', b'Kagayaki, Homare', b'Arisugawa, Himari', b'Hanami, Kotoha', b'Tategami, Aoi', b'Kirahoshi, Ciel']
animeVoices	[b'\nOgura, Yui\nJapanese\n', b'\nMinase, Inori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIkeda, Youko\n\nDirector, Storyboard\n\n', b'\nMiyamoto, Kanako\n\nTheme Song Performance\n\n', b'\nKitagawa, Rie\n\nTheme Song Performance\n\n', b'\nHayashi, Yuuki\n\nMusic\n\n']
