animeTitle	Anime Tenchou Movie
animeType	Special
animeNumEpisode	1
releaseDate	2010-11-05 00:00:00
endDate	
animeNumMembers	2328
animeScore	5.61
animeUsers	695
animeRank	10038
animePopularity	9038
animeDescription	"A project made to celebrate the 10th anniversary of the Animate mascot character Anime Tenchou, screened at the Animate Ichioshi Bishoujo Matsuri event in Tokyo.

(Source: AniDB)"
animeRelated	['Anime Tenchou', 'Anime Tenchou x Touhou Project']
animeCharacters	['Anizawa, Meito']
animeVoices	[]
animeStaff	[['Shimamoto, Kazuhiko', 'Original Creator']]
