animeTitle	Kamisama no Inai Nichiyoubi
animeType	TV
animeNumEpisode	12
releaseDate	2013-07-07 00:00:00
endDate	2013-09-22 00:00:00
animeNumMembers	200819
animeScore	7.32
animeUsers	83717
animeRank	2306
animePopularity	892
animeDescription	"God has abandoned the world. As a result, life cannot end nor can new life be born, and the ""dead"" walk restlessly among the living. Granting one last miracle before turning away forever, God created ""gravekeepers,"" mystical beings capable of putting the dead to rest through a proper burial. Ai, a cheerful but naïve young girl, serves as her village's gravekeeper in place of her late mother.

One day, a man known as Hampnie Hambart, who is supposedly Ai's father, arrives and kills all the people in her village. Having lost her village and with no plans for the future, Ai decides to accompany the mysterious man on his journey. As she travels the land, the young gravekeeper strives to fulfill her duties, granting peace to the dead and assisting the living, while at the same time learning more about the world that God left in this tragic state.

[Written by MAL Rewrite]"
animeRelated	['Kamisama no Inai Nichiyoubi', 'Kamisama no Inai Nichiyoubi: Kioku']
animeCharacters	['Ai', 'Hambart, Hampnie', 'Color, Alice', 'Stratmitos, Dee Ensy', 'Scar', 'Hecmatika, Ulla Eulesse', 'Dmitriyevich, Julie Sakuma', 'Zubreska, Kiriko', 'Gedenburg, Memepo', 'Youki']
animeVoices	['Toyosaki, Aki', 'Namikawa, Daisuke', 'Uchiyama, Kouki', 'Kitamura, Eri', 'Noto, Mamiko', 'Komatsu, Mikako', 'Fujiwara, Keiji', 'Kakihara, Tetsuya', 'Kakuma, Ai', 'Nojima, Hirofumi']
animeStaff	[['Kumazawa, Yuuji', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Hooks, Lainee', 'Script'], ['Konparu, Tomoko', 'Script, Series Composition']]
