animeTitle	Injuu Daikessen
animeType	OVA
animeNumEpisode	1
releaseDate	1997-09-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.15
animeUsers	452
animeRank	
animePopularity	10504
animeDescription	"In this adult anime from Japan, a meteorite strikes Earth, and mayhem begins. Women are found murdered all over Japan, and the evidence points to aliens killing and depositing sperm in the victims. When the government tries to step in, they only make things worse, but suddenly an enormous Venus arrives with what may possibly be a solution...

(Source: Gavin Nelson)"
animeRelated	[]
animeCharacters	['Tsukuba, Fujiko', 'Venus, Ultrawoman']
animeVoices	[]
animeStaff	[['Oomiya, Saburou', 'Producer']]
