animeTitle	Wedding Park
animeType	ONA
animeNumEpisode	2
releaseDate	2018-12-10 00:00:00
endDate	2019-01-08 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15373
animeDescription	"Wedding information site Wedding Park, which gives word-of-mouth recommendations for venues, has released an animated advertisement online. The ad shows the Wedding Park mascot character Wepa appearing in front of a couple in the middle of their proposal. The heart-shaped mascot then takes the couple into a smartphone that shows them information about wedding venues. More animated commercials are expected to be released.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
