animeTitle	Kyou no Asuka Show
animeType	ONA
animeNumEpisode	20
releaseDate	
endDate	
animeNumMembers	
animeScore	6.63
animeUsers	14281
animeRank	
animePopularity	2821
animeDescription	"Asuka is a cute and clueless high school girl who habitually does things, in all innocence, that seem sexually suggestive to the men around her. Each chapter in ""Today's Asuka Show"" features a different awkward situation. 

(Source: tethysdust) "
animeRelated	['Kyou no Asuka Show']
animeCharacters	['Kyouno, Asuka', 'Kyouno, Father', 'Sawada, Mao']
animeVoices	['Noto, Arisa', 'Fujiwara, Keiji']
animeStaff	[['Jinbo, Masato', 'Director'], ['Kudou, Masashi', 'Director, Character Design'], ['Watanabe, Jun', 'Sound Director'], ['Noto, Arisa', 'Theme Song Performance']]
