animeTitle	Kubbe PV Full ver.
animeType	ONA
animeNumEpisode	1
releaseDate	2012-05-15 00:00:00
endDate	
animeNumMembers	209
animeScore	
animeUsers	
animeRank	16922
animePopularity	15891
animeDescription	An extended PV promoting the upcoming ONA series of Kubbe Kort Animasjon. Almost no footage in this PV was used in the 24 episode ONA series and remains unique to this PV.
animeRelated	['Kubbe no Ongakukai', 'Kubbe Kort Animasjon']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
