animeTitle	Kyuukyoku Choujin R
animeType	OVA
animeNumEpisode	1
releaseDate	1991-10-24 00:00:00
endDate	
animeNumMembers	1327
animeScore	6.26
animeUsers	336
animeRank	7387
animePopularity	10448
animeDescription	"The plot featured R and the Camera Club going on a stamp tour throughout Japan, with the threat of their club being closed down unless they can collect all the stamps by 6:00 PM.

(Source: Wikipedia)"
animeRelated	['Kyuukyoku Choujin R']
animeCharacters	['Tanaka, R. Ichirou', 'Tosaka, Akira', 'Otojima, Sango', 'Horikawa, Shiiko', 'Saionji, Marii', 'Iwashimizu, Hitoshi', 'Narihara, Nariyuki', 'Saionji, Erika', 'Hyoudou, Makoto', 'Amano, Sayoko']
animeVoices	['Shiozawa, Kaneto', 'Kamiya, Akira', 'Kasahara, Hiroko', 'Tominaga, Miina', 'Kawamura, Maria', 'Suzuoki, Hirotaka', 'Aono, Takeshi', 'Kanai, Mika', 'Toriumi, Katsumi', 'Hyoudou, Mako']
animeStaff	[['Tomobuki, Ami', 'Director, Script'], ['Chiba, Shigeru', 'Sound Director'], ['Yamamoto, Masayuki', 'Theme Song Composition'], ['Tanaka, Kouhei', 'Music']]
