animeTitle	Futatsu no Sekai
animeType	Movie
animeNumEpisode	1
releaseDate	1929-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.81
animeUsers	222
animeRank	
animePopularity	13500
animeDescription	An adaptation of Aesop's fable The Ant and the Grasshopper but with a slight change. We have a diligent family ants versus a drunken lazy frog, a bourgeois butterfly and grasshopper couple. As winter comes, the frog, butterfly, and grasshopper are ill and starving.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
