animeTitle	Mirai Koushi Harima SACLA
animeType	ONA
animeNumEpisode	1
releaseDate	2013-12-03 00:00:00
endDate	
animeNumMembers	
animeScore	5.58
animeUsers	569
animeRank	
animePopularity	10695
animeDescription	"The Japanese research lab SACLA has released a short anime titled ""Future Photon Harima Sakura"" to promote their X-ray Free Electron Laser (X-FEL), the brightest x-ray source in the world.

As described on her official webpage, the feature character Harima Sakura is a G4-type Picodroid, a living entity with self-learning and evolutionary capability. She can shrink down and dive into the world of atoms, invisible to the human eye, known as the ""Pico Universe."" Her athletic ability is very high. In cooperation with a variety of researchers and scientists, she explores the world inside atoms with a strong sense of justice.

(Source: MAL)"
animeRelated	['Wasure-boshi', 'Picotopia', 'Mirai Koushi Harima SACLA NEX RAY']
animeCharacters	['Harima, Sakura']
animeVoices	['Noto, Mamiko']
animeStaff	[['fripSide', 'Theme Song Performance']]
