animeTitle	Shoukoushi Cedie
animeType	TV
animeNumEpisode	43
releaseDate	1988-01-10 00:00:00
endDate	1988-12-25 00:00:00
animeNumMembers	
animeScore	7.35
animeUsers	1161
animeRank	
animePopularity	7935
animeDescription	"After his father's sudden death, Ceddie moves to England as an heir to his grandfather, the Earl of Dorincourt. 

The Earl is a stubborn and selfish old man. Gradually, however, Ceddie's innocent love opens the Earl's heart and changes him into a caring and generous person. 

This is based on ""Little Lord Fauntleroy"" by F.H.Burnett. 

(Source: AnimeNfo)"
animeRelated	['Shoukoushi Cedie Specials']
animeCharacters	['Errol, Cedric', 'Dick', 'Sarah', 'Errol, James', 'Count Dorincourt', 'Errol, Annie', 'Wilkins', 'Roy', 'Catherine', 'Mickey']
animeVoices	['Orikasa, Ai', 'Shibamoto, Hiroyuki', 'Yoshida, Rihoko', 'Ogawa, Shinji', 'Watabe, Takeshi', 'Munakata, Tomoko', 'Shimada, Bin', 'Takayama, Minami', 'Sakuma, Rei', 'Mita, Yuuko']
animeStaff	[['Kusuba, Kouzou', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Saitou, Hiroshi', 'Storyboard'], ['Kuroda, Yoshio', 'Storyboard']]
