animeTitle	Kyoto Teramachi Sanjou no Holmes
animeType	TV
animeNumEpisode	12
releaseDate	2018-07-10 00:00:00
endDate	2018-09-25 00:00:00
animeNumMembers	
animeScore	6.75
animeUsers	18409
animeRank	
animePopularity	2458
animeDescription	"Based on mystery novels written by Mochizuki Mai.

There is an antique shop in Kyoto's Teramachi Sanjou shopping district. High school girl Mashiro Aoi unexpectedly runs into Yagashira Kiyotaka, the son of the shop's owner, and ends up working part-time at the shop. Kiyotaka is called the ""Holmes at Teramachi Sanjou,"" and he and Aoi solve odd cases brought to them by various clients.

(Source: ANN)"
animeRelated	['Kyoto Teramachi Sanjou no Holmes']
animeCharacters	['Yagashira, Kiyotaka', 'Mashiro, Aoi', 'Kajiwara, Akihito', 'Miyashita, Saori', 'Yagashira, Seiji', 'Miyashita, Kaori', 'Takiyama, Rikyuu', 'Enshou', 'Yagashira, Takeshi']
animeVoices	['Ishikawa, Kaito', 'Tomita, Miyu', 'Kimura, Ryouhei', 'Horie, Yui', 'Koyama, Rikiya', 'Kinoshita, Suzuna', 'Kobayashi, Sanae', 'Yusa, Kouji', 'Ueda, Youji']
animeStaff	[['Sasaki, Tokihiro', 'Director'], ['Imazaki, Itsuki', 'Episode Director'], ['Wagakki Band', 'Theme Song Performance'], ['AOP', 'Theme Song Performance']]
