animeTitle	Suisei no Gargantia Specials
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.2
animeUsers	20487
animeRank	
animePopularity	2914
animeDescription	Episodes 14 and 15, released with the first and third BD/DVD volumes. 
animeRelated	['Suisei no Gargantia']
animeCharacters	['Ledo', 'Amy', 'Kugel', 'Chamber', 'Bellows', 'Melty', 'Saaya', 'Pinion', 'Bebel', 'Joe']
animeVoices	['Ishikawa, Kaito', 'Kanemoto, Hisako', 'Ono, Yuuki', 'Sugita, Tomokazu', 'Itou, Shizuka', 'Asumi, Kana', 'Kayano, Ai', 'Konishi, Katsuyuki', 'Terasaki, Yuka']
animeStaff	[['Murata, Kazuya', 'Director'], ['Chihara, Minori', 'Theme Song Performance'], ['ChouCho', 'Theme Song Performance'], ['Urobuchi, Gen', 'Series Composition']]
