animeTitle	Planetarian: Snow Globe
animeType	OVA
animeNumEpisode	1
releaseDate	2021-01-20 00:00:00
endDate	
animeNumMembers	8947
animeScore	7.23
animeUsers	1523
animeRank	2721
animePopularity	5576
animeDescription	"The new OVA will feature the prequel short story ""Snow Globe,"" which debuted as part of a light novel volume that bundled with a limited-edition version of the original PC game."
animeRelated	['Planetarian: Chiisana Hoshi no Yume']
animeCharacters	['Hoshino, Yumemi']
animeVoices	[]
animeStaff	[['Tamamura, Jin', 'Director'], ['Yamaguchi, Takayuki', 'Sound Director'], ['Yasukawa, Shougo', 'Script, Series Composition'], ['Key', 'Original Creator']]
