animeTitle	b'Rockman.EXE Stream'
animeType	b'TV'
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	7.07
animeUsers	3142
animeRank	
animePopularity	
animeDescription	b'A comet burns in the sky, its brilliant light shining down upon the people of Earth. At that time, a giant army of viruses invade the real world, crushing everything in their path. Netto and Enzan use cross fusion to intervene, but are whisked away to an unknown location, only to be confronted by the one responsible for the attack - Duo! \n\n(Source: Official Site)'
animeRelated	[b'Rockman.EXE Axess', b'Rockman.EXE Beast', b'Rockman.EXE Movie: Hikari to Yami no Program']
animeCharacters	[b'Rockman.EXE', b'Hikari, Netto', b'Ijuuin, Enzan', b'Blues.EXE', b'Sakurai, Meiru', b'Orihime, Jasmine', b'Forte.EXE', b'Roll.EXE', b'Searchman.EXE', b'Gutsman.EXE']
animeVoices	[b'\nKimura, Akiko\nJapanese\n', b'\nHiga, Kumiko\nJapanese\n', b'\nSaiga, Mitsuki\nJapanese\n', b'\nMizuhashi, Kaori\nJapanese\n', b'\nChiba, Saeko\nJapanese\n', b'\nNemoto, Keiko\nJapanese\n', b'\nJou, Masako\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKato, Takao\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nOota, Masahiko\n\nStoryboard\n\n', b'\nKakudou, Hiroyuki\n\nStoryboard\n\n']
