animeTitle	Kuro Ai: Hitoyozumakan Inkou Rannyuuroku
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.69
animeUsers	4381
animeRank	
animePopularity	5248
animeDescription	"Tetsuya's investigation into a luxurious hotel turns over a nest of yakuza and a bizarre orgy cult. On rich silk sheets and velvet chairs, the rich and powerful participate in sex acts so depraved that just witnessing them is likely to turn a man into a monster. But the true purpose of this cult is a pact with evil energies that can literally turn Tetsuya into an inhuman demon. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Jounouchi, Minako', 'Gojou, Tetsuya', 'Sogawa, Hazuki', 'Koujin, Rikka', 'Miyabi', 'Houjou, Honoka', 'Mizuno, Kaori', 'Utsumi, Ayaka']
animeVoices	['Taguchi, Hiroko', 'Rikimaru, Noriko', 'Hatamiya, Kanoko', 'Arai, Shizuka', 'Hitomi', 'Miyabi, Shion', 'Inoue, Miyu']
animeStaff	[['Murakami, Teruaki', 'Director, Storyboard, Animation Director, Character Design, In-Between Animation, Key Animation'], ['Saegusa, Chiaki', 'Sound Director'], ['Momoi, Osamu', 'Script'], ['CLOCKUP', 'Original Creator']]
