animeTitle	Hoshi no Umi no Amuri
animeType	OVA
animeNumEpisode	3
releaseDate	2008-04-01 00:00:00
endDate	2008-09-26 00:00:00
animeNumMembers	
animeScore	5.75
animeUsers	939
animeRank	
animePopularity	8206
animeDescription	"The 3D modeled anime is set in Year 019 of the Insonity Progressive Revolution - a future era in which mankind has evolved into a new species called Adapters. Three very young Adapter girls from Japan, China and France set out on a space adventure that will affect the rest of their species. 

(Source: animekon)"
animeRelated	['Hoshi no Umi no Amuri: Tsuki no Yami no Plugin']
animeCharacters	['Kakyoin, Amuri', 'La Mer, Perrier', 'Lin, Yunque', 'Skłodowska Curie, Maria', 'Q9 Tokusen Taichou', 'Allen, Deus', 'Purumo', 'Novum, Femina']
animeVoices	['Makino, Yui', 'Saitou, Momoko', 'Aizawa, Michiru', 'Noto, Mamiko', 'Yonetani, Yoshitomo', 'Matsumoto, Marika', 'Hirano, Aya']
animeStaff	[['Yonetani, Yoshitomo', 'Director, Episode Director, Storyboard, Original Creator, Series Composition'], ['Makino, Yui', 'Theme Song Performance'], ['Fujisawa, Hideki', 'Theme Song Composition, Theme Song Lyrics, Theme Song Arrangement'], ['Kobayashi, Kiyoshi', 'Inserted Song Performance']]
