animeTitle	b'Ninja Hattori-kun (2012)'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.54
animeUsers	1139
animeRank	
animePopularity	
animeDescription	b'Remake of the Ninja Hattori-kun series.'
animeRelated	[b'Ninja Hattori-kun', b'Ninja Hattori-kun (2012) Special']
animeCharacters	[b'Hattori, Kanzou', b'Kemumaki, Kemuzou', b'Hattori, Shinzou', b'Mitsuba, Kenichi', b'Kawai, Yumeko']
animeVoices	[b'\nHori, Junko\nJapanese\n', b'\nOgawa, Kazuki\nJapanese\n', b'\nTenjibayashi, Tomomi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYasumi, Tetsuo\n\nDirector\n\n', b'\nOokuma, Akira\n\nSound Director\n\n', b'\nFujiko, Fujio F.\n\nOriginal Creator\n\n', b'\nFujiko, Fujio (A)\n\nOriginal Creator\n\n']
