animeTitle	Madou King Granzort
animeType	TV
animeNumEpisode	41
releaseDate	
endDate	
animeNumMembers	
animeScore	7.11
animeUsers	545
animeRank	
animePopularity	9466
animeDescription	"In the future, the moon is a habitable place with atmosphere and gravity and also a famous tourist attraction. There are also stories about a ""long ears"" creature like rabbits on the moon who can use magic. Haruka Daichi heads off to the moon during a summer holiday alone because he likes to see the long ears creature by himself.

However, he get himself dragged into an ancient conflict between two ancient moon races: the ""long ears"" race and Jado race. Jado race wanted to conquer the universe and resurrect ancient evil powers to seize control of the Earth. Now the ""long ears"" race and Daichi must seek three warriors who could use magic to release Mado King to fight Jado race and to release ""long ears"" race's kingdom, Rabiluna, from Jado race.

(Source: AniDB)"
animeRelated	['Madou King Granzort: Saigo no Magical Taisen', 'Madou King Granzort: Nonstop Rabi']
animeCharacters	['Guriguri', 'Rabi', 'Haruka, Daiichi', 'Granzort', 'V-May', 'Agramant', 'Yamamoto, Gus', 'Enuma']
animeVoices	['Hayashibara, Megumi', 'Adachi, Shinobu', 'Matsuoka, Youko', 'Ootaki, Shinya', 'Suzuki, Reiko', 'Ogata, Kenichi', 'Matsuda, Tatsuya']
animeStaff	[['Iuchi, Shuji', 'Director, Script, Storyboard'], ['Hidaka, Masamitsu', 'Episode Director, Storyboard'], ['Kondou, Nobuhiro', 'Episode Director, Storyboard'], ['Kagawa, Yutaka', 'Episode Director, Storyboard']]
