animeTitle	Yatogame-chan Kansatsu Nikki Nisatsume
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.34
animeUsers	6596
animeRank	
animePopularity	4515
animeDescription	Second season of Yatogame-chan Kansatsu Nikki.
animeRelated	['Yatogame-chan Kansatsu Nikki', 'Yatogame-chan Kansatsu Nikki Sansatsume']
animeCharacters	['Yatogame, Monaka', 'Sasatsu, Yanna', 'Jin, Kaito', 'Tadakusa, Mai', 'Jandara, Rin', 'Jin, Hanka', 'Koshiyasu, Nanaho', 'Itemae, Shiharu', 'Teppei', 'Shonai, Lala']
animeVoices	['Tomatsu, Haruka', 'Komatsu, Mikako', 'Ichiki, Mitsuhiro', 'Wakai, Yuuki', 'Matsui, Eriko', 'Akabane, Kenji', 'Nanjou, Yoshino']
animeStaff	[['Alfakyun.', 'Theme Song Performance'], ['Hayasaka, Satsuki', 'Chief Animation Director, Character Design'], ['Kawakami, Hitoshi', 'Art Director, Background Art'], ['WORDS in STEREO', 'Series Composition']]
