animeTitle	Itazura Tenshi Chippo-chan
animeType	TV
animeNumEpisode	240
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14745
animeDescription	"Humorous adventures of a silly angel, 5 minutes per episode.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Chippo']
animeVoices	['Ichitani, Nobue']
animeStaff	[['Ishiguro, Noboru', 'Episode Director'], ['Aoki, Takashi', 'Episode Director'], ['Andou, Toyohiro', 'Script'], ['Kubota, Shouzou', 'Animation Director']]
