animeTitle	Hana no Mahoutsukai Mary Bell
animeType	TV
animeNumEpisode	50
releaseDate	1992-02-03 00:00:00
endDate	1993-01-18 00:00:00
animeNumMembers	
animeScore	6.43
animeUsers	527
animeRank	
animePopularity	9094
animeDescription	"Mary Bell, a magical girl who looks like a girl around five years old, comes to the human world from a magical world called ""Flower Magic World"", and helps and encourages people.

(Source: Wikipedia)"
animeRelated	['Hana no Mahoutsukai Mary Bell: Phoenix no Kagi']
animeCharacters	['Yuuri', 'Bell, Mary', 'Vivian', 'Sweet', 'Toto', 'Rose', 'Morii', 'Moru', 'Snon', 'Chris']
animeVoices	['Koorogi, Satomi', 'Honda, Chieko', 'Yajima, Akiko', 'Tomiyama, Kei', 'Suzuoki, Hirotaka', 'Kyouda, Hisako', 'Hayashibara, Megumi', 'Nakahara, Shigeru', 'Kawamura, Maria', 'Itou, Miki']
animeStaff	[['Endou, Tetsuya', 'Director'], ['Yoshida, Hiroshi', 'Episode Director, Storyboard'], ['Yamada, Yasunori', 'Script'], ['Koyama, Takao', 'Script, Series Composition']]
