animeTitle	b'HenSemi (TV)'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.53
animeUsers	15642
animeRank	
animePopularity	
animeDescription	b'Matsutaka Nanako is a normal university student, who happened to enroll in an Abnormal Physiology seminar. She tries to keep her mental state sound, but other abnormal classmates start to influence her personality...\n\n(Source: MU)'
animeRelated	[b'HenSemi']
animeCharacters	[b'Gregory, Makiko', b'Musashi, Komugi', b'Mizukoshi, Miwako', b'Matsutaka, Nanako', b'Ichikawa, Hishiyasu', b'Katou, Anna', b'Meshiya, Kenji', b'Yesterday, Taguchi', b'Horii, Yuuji']
animeVoices	[b'\nKawaragi, Shiho\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nTakaguchi, Yukiko\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nMori, Norihisa\nJapanese\n', b'\nShintani, Ryouko\nJapanese\n', b'\nMatsuyama, Takashi\nJapanese\n', b'\nShiraishi, Minoru\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakanishi, Go\n\nProducer\n\n', b'\nKato, Takao\n\nDirector, Episode Director\n\n', b'\nKameyama, Toshiki\n\nSound Director\n\n', b'\nTakahashi, Hideya\n\nEpisode Director\n\n']
