animeTitle	Fairy Gone 2nd Season
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.37
animeUsers	13120
animeRank	
animePopularity	2792
animeDescription	Second season of Fairy Gone.
animeRelated	['Fairy Gone']
animeCharacters	['Underbar, Free', 'Noel, Marlya', 'Thorne, Veronica', 'Row, Wolfran', 'Risker, Bivi', 'Sweet, Bitter', 'Laboo, Axel', 'Distarol, Cain', 'Need, Eleanor', 'Carme, Damien']
animeVoices	[]
animeStaff	[['Suzuki, Kenichi', 'Director'], ['Tsuda, Naokatsu', 'Episode Director, Storyboard'], ['Abe, Yuriko', 'Episode Director, Storyboard'], ['Oota, Tomoaki', 'Episode Director']]
