animeTitle	b'Mutant Turtles: Choujin Densetsu-hen'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.24
animeUsers	1340
animeRank	
animePopularity	
animeDescription	b'When the Teenage Mutant Ninja Turtles acquire Mutastones from Crys-Mu, the spirit of light, they acquire the ability to enhance themselves into Super Turtles for a duration of three minutes. Meanwhile, the evil Shredder and his minions Bebop and Rocksteady stumble upon the Dark Mutastone, which transforms them into Devil Shredder, Supermutant Bebop and Supermutant Rocksteady, respectively. But the Turtles have one more trick up their shells: all four of them can combine into their ultimate form\xe2\x80\x94Turtle Saint.\n\n(Source: ANN)'
animeRelated	[b'Super Turtles']
animeCharacters	"[b'Michelangelo', b'Leonardo', b'Donatello', b'Shredder', b'Raphael', b'Bebop', b'Master Splinter', b""O'Neil, April"", b'Krang', b'Rocksteady']"
animeVoices	[b'\nSakurai, Toshiharu\nJapanese\n', b'\nNakamura, Daiki\nJapanese\n', b'\nUgaki, Hidenari\nJapanese\n', b'\nYanada, Kiyoyuki\nJapanese\n', b'\nShibamoto, Hiroyuki\nJapanese\n', b'\nTsukui, Kyousei\nJapanese\n', b'\nUmezu, Hideyuki\nJapanese\n', b'\nShinohara, Emi\nJapanese\n', b'\nNakamura, Hidetoshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMaki, Taro\n\nProducer\n\n', b'\nOoga, Shunji\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nKageyama, Hironobu\n\nTheme Song Performance\n\n']
