animeTitle	b'Majokko Tsukune-chan'
animeType	b'OVA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.63
animeUsers	1078
animeRank	
animePopularity	
animeDescription	b'In this surreal comedy, the witch Tsukune-chan travels the countryside doling out just deserts, be they good or bad.\n\n(Source: AniDB)'
animeRelated	[b'Majokko Tsukune-chan']
animeCharacters	[b'Tsukune', b'Uncle Tony', b'Santa Claus', b'Devil Santa', b'Onigawara, Mika', b'Kesennuma, Himeko']
animeVoices	[b'\nMomoi, Haruko\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nKatou, Masayuki\nJapanese\n', b'\nSanpei, Yuuko\nJapanese\n', b'\nTokunaga, Ai\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSakurai, Hiroaki\n\nDirector\n\n', b'\nKaneko, Shingo\n\nScript, Storyboard\n\n', b'\nDaichi, Akitarou\n\nStoryboard\n\n', b'\nMomoi, Haruko\n\nTheme Song Performance\n\n']
