animeTitle	b'Ginga Senpuu Braiger'
animeType	b'TV'
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	6.67
animeUsers	358
animeRank	
animePopularity	
animeDescription	b'In the year 2111, the solar system has been colonized. The colonized moons and planets are lawless and the police are helpless. In order to battle the evil within the solar system, Isaac Godonov creates J9, made up of himself, Blaster Kid, Stephen Bowie, and Angel Omachi. They are a team that will handle any missions the police will not with their robot Braiger... for a price. Meanwhile, the Nubia section of Earth has a plan to destroy Jupiter to create 30 more planets for human colonization. But this plan will result in the destruction of Earth. \n\n(Source: ANN)'
animeRelated	[b'Ginga Reppuu Baxingar']
animeCharacters	[b'Kido, Jotaro', b'Godonov, Isaac', b'Bowie, Steven', b'Valencia, Machiko', b'Carmen, Carmen', b'Pancho, Poccho']
animeVoices	[b'\nShiozawa, Kaneto\nJapanese\n', b'\nSogabe, Kazuyuki\nJapanese\n', b'\nMori, Katsuji\nJapanese\n', b'\nIchiryuusai, Harumi\nJapanese\n', b'\nTanaka, Kazumi\nJapanese\n', b'\nYanami, Jouji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYotsuji, Takao\n\nDirector\n\n', b'\nMatsuura, Johei\n\nEpisode Director\n\n', b'\nTakagaki, Kouzou\n\nEpisode Director\n\n', b'\nMatsuzaki, Kenichi\n\nScript\n\n']
