animeTitle	Touka Gettan
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.54
animeUsers	3446
animeRank	
animePopularity	4149
animeDescription	"Touka Gettan is set in the land of Kamitsumihara, where traces of magic and legend can still be seen. The land has been under the protection of the Kamiazuma clan since it was founded. The story revolves around Touka Kamiazuma, the main protagonist, and his encounter with a young girl named Momoka Kawakabe who comes to stay with the clan. Their meeting sets off a chain of events that will bring an ancient legend to life.

(Source: ANN) "
animeRelated	['Touka Gettan', 'Yami to Boushi to Hon no Tabibito', 'Kao no nai Tsuki']
animeCharacters	['Kawakabe, Momoka', 'Kamiazuma, Touka', 'Azuma, Hazuki', 'Lilith', 'Fuu', 'Rokujou, Shouko', 'Shirakawa, Asuna', 'Kikyou', 'Kamiazuma, Haruhiko', 'Yurika']
animeVoices	['Hayami, Saori', 'Ise, Mariya', 'Noto, Mamiko', 'Kobayashi, Sanae', 'Kawaragi, Shiho', 'Kobayashi, Yuu', 'Inokuchi, Yuka', 'Yamagata, Satomi', 'Nojima, Kenji', 'Saitou, Ayaka']
animeStaff	[['Yamaguchi, Yuuji', 'Director, Storyboard'], ['Kon, Chiaki', 'Episode Director, Storyboard'], ['Yoshida, Shunji', 'Episode Director'], ['Tsuchiya, Hiroyuki', 'Episode Director']]
