animeTitle	Tu Xia Chuanqi
animeType	Movie
animeNumEpisode	1
releaseDate	2011-07-11 00:00:00
endDate	
animeNumMembers	316
animeScore	5.64
animeUsers	110
animeRank	9953
animePopularity	14400
animeDescription	"Fu, a dopey rabbit, is telepathically given the ultimate kung fu power after rescuing Shifu, a martial arts master, from a fatal attack with the promise that he, Fu, would return the martial arts academy tablet to his, Shifu's daughter, Penny. While on his journey to the academy thieves ambush Fu and unbeknownst to him he is rescued by Penny. As they become traveling companions they arrive at the academy only to learn it has been taken over by the evil Slash. As Penny takes Slash on in a kung fu showdown to get back her father's academy Fu will reveal his power and take Slash down while fulfilling his promise.

(Source: Official YouTube)"
animeRelated	['Tu Xia Zhi Qing Li Chuanshuo', 'Tu Xia Chuanqi Xuewu Pian']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
