animeTitle	Kimari no Nai Kuni
animeType	OVA
animeNumEpisode	1
releaseDate	2001-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17991
animeDescription	Kiriko likes doing fun things even if it meant breaking the rules. One day they wake up and find the world different, there are no rules! But it's horrible, Kiriko realizes just how terrible and lonely it is in a world full of anarchy. From now on they promise to follow the rules, and in doing so, Kiriko makes new friends. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
