animeTitle	Reiju Gakuen
animeType	OVA
animeNumEpisode	2
releaseDate	2002-09-27 00:00:00
endDate	2002-12-27 00:00:00
animeNumMembers	
animeScore	5.54
animeUsers	634
animeRank	
animePopularity	8977
animeDescription	When the new instructor arrives, her lesson plan is filled with debased acts and sinful examinations. And the only way to get some extra credit is to volunteer for some hands-on learning!
animeRelated	[]
animeCharacters	['Hara, Miyuki', 'Kou', 'Itou, Keiko']
animeVoices	['Houjou, Asuka']
animeStaff	[['Ishida, Tooru', 'Director'], ['Sano, Hiroaki', 'Music'], ['Katou, Hiroto', 'Character Design']]
