animeTitle	b'Durarara!!x2 Ketsu'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	8.08
animeUsers	160093
animeRank	
animePopularity	
animeDescription	"b""As Mikado Ryuugamine continues to purge the Dollars from within in accordance with his warped sense of justice, Masaomi Kida hopes to bring his friend back to his senses by bringing the Yellow Scarves together once more. Little do they know that a far more dominant force is about to enter their struggle for power, one that their friend Anri Sonohara is all too familiar with.\n\nMeanwhile, the group that has gathered at Shinra Kishitani's apartment realizes that they are on the brink of something life-changing, an event that will throw Ikebukuro into a spiral of confusion. Their anxiety is realized when reports of Celty's head being found in public start to appear all over the news as Kasane Kujiragi begins to make her move.\n\nGone are the brief periods of tranquility as the current turmoil sets the stage for one final performance in this thrilling conclusion to the story of Ikebukuro's finest.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Durarara!!', b'Durarara!!x2 Ten', b'Durarara!!x2 Ketsu: Dufufufu!!']
animeCharacters	[b'Orihara, Izaya', b'Heiwajima, Shizuo', b'Sturluson, Celty', b'Kida, Masaomi', b'Kishitani, Shinra', b'Ryuugamine, Mikado', b'Sonohara, Anri', b'Brezhnev, Semyon', b'Kadota, Kyouhei', b'Karisawa, Erika']
animeVoices	[b'\nKamiya, Hiroshi\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nToyonaga, Toshiyuki\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nKuroda, Takaya\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nTakagaki, Ayahi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOomori, Takahiro\n\nDirector, Sound Director\n\n', b'\nMajima, Takahiro\n\nEpisode Director\n\n', b'\nOoshiro, Miyuki\n\nEpisode Director, Storyboard, Assistant Director\n\n', b'\nMiyaji, Masayuki\n\nStoryboard\n\n']
