animeTitle	Aoki Uru: Overture
animeType	Special
animeNumEpisode	1
releaseDate	2015-01-01 00:00:00
endDate	
animeNumMembers	764
animeScore	
animeUsers	
animeRank	14837
animePopularity	11830
animeDescription	A short special created by a newly launched Uru in Blue LLP (Limited Liability Partnership) in Singapore that was pre-streamed in 2015. Aoki Uru: Overture is a lead up/preview to the full film.
animeRelated	['Aoki Uru']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
