animeTitle	Na Bbeun Sang Sa
animeType	Movie
animeNumEpisode	1
releaseDate	2018-08-07 00:00:00
endDate	
animeNumMembers	
animeScore	6.14
animeUsers	171
animeRank	
animePopularity	10784
animeDescription	Bad Boss is a femtai (hentai for women) from South Korean Studio Seo-yeong more, which was filmed by Baek Jong Suk in 2018. The plot takes place in Seoul and tells the story of the vicious life of Son-Kyu, who hides his dark past during the day, and at night turns into a ladies ' man. Soon the hero will meet an innocent girl, Kim Min and fall in love with her. However, his dark side will take over and the Son will come up with an insidious plan of revenge to his old friend, who is also in love with Kim Min.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
