animeTitle	Maria-sama ga Miteru 4th
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.78
animeUsers	8292
animeRank	
animePopularity	4028
animeDescription	"Yumi and the Yamayuri Council have found two new helpers in Kanako and Toko. Unfortunately, their assistance comes with tension, as neither girl is particularly fond of the other and both seem likely candidates to be Yumi's petite soeur. Will either be a good fit for Yumi? As the school year marches on, the work for the Yamayuri Council piles up, and pressure begins to mount for Yumi to make her final decision.

(Source: RightStuf)"
animeRelated	['Maria-sama ga Miteru', 'Maria-sama ga Miteru 3rd', 'Maria-sama ga Miteru 4th Specials']
animeCharacters	['Ogasawara, Sachiko', 'Fukuzawa, Yumi', 'Toudou, Shimako', 'Matsudaira, Touko', 'Shimazu, Yoshino', 'Hasekura, Rei', 'Nijou, Noriko', 'Hosokawa, Kanako', 'Satou, Sei', 'Mizuno, Youko']
animeVoices	['Itou, Miki', 'Ueda, Kana', 'Noto, Mamiko', 'Kugimiya, Rie', 'Ikezawa, Haruna', 'Itou, Shizuka', 'Shimizu, Kaori', 'Koshimizu, Ami', 'Toyoguchi, Megumi', 'Shinohara, Emi']
animeStaff	[['Matsuda, Akio', 'Producer'], ['Kato, Toshiyuki', 'Director, Episode Director, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Jinbo, Masato', 'Episode Director']]
