animeTitle	Gekiyaba∞Bokkan!!
animeType	Music
animeNumEpisode	1
releaseDate	2017-02-20 00:00:00
endDate	
animeNumMembers	
animeScore	5.69
animeUsers	121
animeRank	
animePopularity	14311
animeDescription	Music video directed by Toshitaka Shinoda and Takashi Ohashi for the single Gekiyaba∞Bokkan!! by Moso Calibration. It features a blend of live action, 2D, and 3D animation. The song was featured as the second ending for Time Bokan 24.
animeRelated	['Time Bokan 24']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
