animeTitle	Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!
animeType	Movie
animeNumEpisode	1
releaseDate	2015-08-22 00:00:00
endDate	
animeNumMembers	2988
animeScore	7.03
animeUsers	1037
animeRank	3663
animePopularity	8395
animeDescription	"An Aikatsu! All-Star awards ceremony will take place. The film will feature songs and stages featured throughout the anime series.

(Source: ANN)"
animeRelated	['Aikatsu!']
animeCharacters	['Hoshimiya, Ichigo', 'Kiriya, Aoi', 'Oozora, Akari', 'Shibuki, Ran', 'Hikami, Sumire', 'Kurebayashi, Juri', 'Shinjou, Hinaki', 'Toudou, Yurika', 'Arisugawa, Otome', 'Kanzaki, Mizuki']
animeVoices	['Morohoshi, Sumire', 'Tadokoro, Azusa', 'Shimoji, Shino', 'Ohashi, Ayaka', 'Wakui, Yuu', 'Saitou, Aya', 'Ishikawa, Yui', 'Numakura, Manami', 'Kurosawa, Tomoyo', 'Sasakama, Risuko']
animeStaff	[['Watada, Shinya', 'Director'], ['AIKATSU☆STARS!', 'Theme Song Performance, Inserted Song Performance'], ['Katou, Youichi', 'Series Composition'], ['Watanabe, Satomi', 'Character Design']]
