animeTitle	Space Gundam V
animeType	Movie
animeNumEpisode	1
releaseDate	1983-07-21 00:00:00
endDate	
animeNumMembers	634
animeScore	5.73
animeUsers	127
animeRank	9632
animePopularity	12363
animeDescription	Space Gundam V was presented as a Super Robot with quasi-mystical powers that battled a villainous entity on every episode. Much like the Super Robot shows Invincible Super Man Zambot 3 and Trider G7, the robot was piloted by a pre-teen boy. Notable villains included a giant rat and a winged devil.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
