animeTitle	Tian Shu Qi Tan
animeType	Movie
animeNumEpisode	1
releaseDate	1983-01-01 00:00:00
endDate	
animeNumMembers	90
animeScore	
animeUsers	
animeRank	13825
animePopularity	17930
animeDescription	"Yuangong, the deacon, opens the shrine and exposes the holy book to the human world. He also carves the contents of the book on the stone wall of white cloud cave in the mountains. He is then punished by the Jade Emperor to guard the book for life for breaking heaven's law and betraying the holy secret to humankind. In order to pass this holy book to human beings, he must get by the antagonist fox.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
