animeTitle	Chou Robot Seimeitai Transformers Micron Densetsu
animeType	TV
animeNumEpisode	52
releaseDate	2003-01-10 00:00:00
endDate	2003-12-26 00:00:00
animeNumMembers	8116
animeScore	6.77
animeUsers	4385
animeRank	4753
animePopularity	5773
animeDescription	On the mechanical planet of Cybertron live super robotic organisms known as Transformers. There, mainly consisting of convoys, the Cybertron army, and their old enemy Destron fell into conflict to gain hold of a new power to join their side. A new breed of Transformers known as the Microns. But, grieving over the battle the Microns set off to the other end of the universe. 4 million years later, on Earth, 3 young children activated a mysterious panel inside a cave. And somehow, that was the dormant Micron...
animeRelated	['Transformers Superlink']
animeCharacters	['Starscream', 'Convoy', 'Master Megatron', 'Hot Shot', 'Ratchet', 'Lopez, Carlos', 'White, Bradley', 'Alexa', 'Unicron', 'Jetfire']
animeVoices	['Yamanoi, Jin', 'Ookawa, Tooru', 'Yanada, Kiyoyuki', 'Okano, Kousuke', 'Sawaki, Ikuya', 'Endou, Junichi', 'Nakai, Masataka', 'Tomisaka, Akira', 'Chou, Katsumi', 'Chiba, Susumu']
animeStaff	[['Ueda, Hidehito', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Sano, Takashi', 'Episode Director, Storyboard, Key Animation'], ['Matsuo, Hayato', 'Music']]
