animeTitle	b'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.58
animeUsers	776439
animeRank	
animePopularity	
animeDescription	"b'Life in the bustling city of Orario is never dull, especially for Bell Cranel, a na\xc3\xafve young man who hopes to become the greatest adventurer in the land. After a chance encounter with the lonely goddess, Hestia, his dreams become a little closer to reality. With her support, Bell embarks on a fantastic quest as he ventures deep within the city\'s monster-filled catacombs, known only as the ""Dungeon."" Death lurks around every corner in the cavernous depths of this terrifying labyrinth, and a mysterious power moves amidst the shadows.\n\nEven on the surface, survival is a hard-earned privilege. Indeed, nothing is ever certain in a world where gods and humans live and work together, especially when they often struggle to get along. One thing is for sure, though: a myriad of blunders, triumphs and friendships awaits the dauntlessly optimistic protagonist of this herculean tale.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', b'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA', b'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria', b'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya', b'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II', b'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future']
animeCharacters	[b'Cranel, Bell', b'Hestia', b'Wallenstein, Ais', b'Lion, Ryuu', b'Arde, Liliruca', b'Freya', b'Hermes', b'Yamato, Mikoto', b'Crozzo, Welf', b'Loga, Bete']
animeVoices	[b'\nMatsuoka, Yoshitsugu\nJapanese\n', b'\nMinase, Inori\nJapanese\n', b'\nOonishi, Saori\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nUchida, Maaya\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nSaitou, Souma\nJapanese\n', b'\nAkasaki, Chinatsu\nJapanese\n', b'\nHosoya, Yoshimasa\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakayama, Nobuhiro\n\nProducer\n\n', b'\nYamakawa, Yoshiki\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nTakashima, Daisuke\n\nEpisode Director\n\n']
