animeTitle	Kannazuki no Miko
animeType	TV
animeNumEpisode	12
releaseDate	2004-10-02 00:00:00
endDate	2004-12-18 00:00:00
animeNumMembers	63522
animeScore	6.84
animeUsers	26631
animeRank	4451
animePopularity	2190
animeDescription	"Kannazuki no Miko begins in the village of Mahoroba, where time passes slowly for both man and nature. Two students from the village's prestigious Ototachibana Academy might as well be night and day. Himeko is shy and unassertive, while Chikane is bold and elegant. Despite this, they love each other, and nothing can come between them, no matter how hard they try.

On the two girls' shared birthday, a sinister voice corrupts one of their friends into attacking them, and just when it seemed grimmest, the lunar and solar priestess powers that lay dormant in the two girls awaken, dispelling the evil. That was only the first hurdle, however. The two must now fend off the countless others who would threaten their well-being—even the people closest to them!"
animeRelated	['Kannazuki no Miko', 'Kyoushirou to Towa no Sora']
animeCharacters	['Himemiya, Chikane', 'Kurusugawa, Himeko', 'Oogami, Souma', 'Nekoko', 'Sister Miyako', 'Tsubasa', 'Yukihito', 'Kisaragi, Otoha', 'Izumi', 'Oogami, Kazuki']
animeVoices	['Kawasumi, Ayako', 'Shitaya, Noriko', 'Majima, Junji', 'Nonaka, Ai', 'Ootani, Ikue', 'Matsumoto, Yasunori', 'Minami, Omi', 'Nishimura, Chinami', 'Asai, Kiyomi', 'Saitou, Moichi']
animeStaff	[['Kawase, Kouhei', 'Producer'], ['Yanagisawa, Tetsuya', 'Director, Episode Director, Storyboard, Key Animation'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Uetake, Sumio', 'Script, Series Composition']]
