animeTitle	Ma La Nu Pei
animeType	ONA
animeNumEpisode	32
releaseDate	2020-04-07 00:00:00
endDate	2020-07-18 00:00:00
animeNumMembers	3232
animeScore	6.95
animeUsers	595
animeRank	3999
animePopularity	8210
animeDescription	"Since her childhood, Su Xiao has been sidelined because of her frightening air. Now an actress, she unfortunately remains stuck in the roles of villains.

One day, Xiao Jian , a recognized investor and actor, comes across a scene between Su Xiao and his manager, which is confusing. In order to silence him, Su Xiao signs a contract with him.  

(Source: Nautiljon)"
animeRelated	[]
animeCharacters	['Xiao, Su', 'Jian, Xiao']
animeVoices	['Zhang, Jie']
animeStaff	[]
