animeTitle	b'Shinkansen Henkei Robo Shinkalion'
animeType	b'ONA'
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""ShoPro's new transforming train toy line comes with animated promotional videos on the official YouTube page. Featuring shinkansen which transform into Shinkalions who fight a mysterious shakouki-doguu monster. """
animeRelated	[b'Shinkansen Henkei Robo Shinkalion The Animation']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
