animeTitle	Midoriyama Koukou Koushien-hen
animeType	OVA
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13643
animeDescription	The story of students of a baseball team from Midoriyama High School, who will participate in the 66th National Championship Tournament of Senior High School Baseball in Japan. 
animeRelated	['Midoriyama Koukou Koushien-hen (Movie)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
