animeTitle	Lucky☆Orb feat. Hatsune Miku
animeType	Music
animeNumEpisode	1
releaseDate	2019-05-06 00:00:00
endDate	
animeNumMembers	654
animeScore	6.63
animeUsers	379
animeRank	5467
animePopularity	12291
animeDescription	"In commemoration of Hatsune Miku's world concert tour series ""Hatsune Miku EXPO"" celebrating its 5th anniversary, a special music video for this year's theme song, ""Lucky☆Orb feat. Hatsune Miku"" by emon(Tes.), was produced. The video is a collaboration between Crypton, Fantasista Utamaro, and Kasoku Sato.

The single was available for purchase that same day online and was later included on the Hatsune Miku EXPO 5th Anniversary EP, along with previous theme songs and contest winners.

(Source: YouTube)"
animeRelated	[]
animeCharacters	['Hatsune, Miku']
animeVoices	[]
animeStaff	[['fantasista utamaro', 'Director'], ['Hatsune, Miku', 'Theme Song Performance']]
