animeTitle	Urban Square: Kohaku no Tsuigeki
animeType	OVA
animeNumEpisode	1
releaseDate	1986-11-28 00:00:00
endDate	
animeNumMembers	
animeScore	6.07
animeUsers	661
animeRank	
animePopularity	9870
animeDescription	"Ryou Matsumoto is a screenplay writer that runs into a man and witnesses his murder. Unknown to him, he gets caught up in an illegal antique ring along with a girl he meets named Yuki. In order to survive, he ends up acting out the ""action hero"" role that he writes in his screenplays.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Tamura, Yuki', 'Matsumoto, Ryou', 'Detective Mochizuki', 'Gouda, Geese', 'Henmi', 'Naomi', 'Kengorou Karate']
animeVoices	['Yamada, Eiko', 'Inoue, Kazuhiko', 'Tanaka, Nobuo', 'Iizuka, Shouzou', 'Inoue, Makio', 'Hiramatsu, Akiko', 'Chiba, Shigeru']
animeStaff	[['Nishimori, Akira', 'Director'], ['Takada, Akemi', 'Character Design'], ['Ito, Kazunori', 'Screenplay'], ['Nishizawa, Susumu', 'Key Animation']]
