animeTitle	b'Glass no Usagi'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.62
animeUsers	613
animeRank	
animePopularity	
animeDescription	b'Toshiko Ei and her family are residents of Tokyo. Her father is a respected and skilled glass craftsmen so the family makes a good living. However, the Ei family soon finds itself having to suffer through many tragic hardships as a result of World War II. \n\n(Source: ANN) '
animeRelated	[]
animeCharacters	[b'Ei, Toshiko', b'Ei, Tsuneo', b'Ei, Yukio']
animeVoices	[b'\nMogami, Rina\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShibuichi, Setsuko\n\nDirector, Character Design\n\n', b'\nShimizu, Katsunori\n\nSound Director\n\n', b'\nSuenaga, Mitsuyo\n\nScript\n\n', b'\nOshima, Michiru\n\nMusic\n\n']
