animeTitle	Katarina to Manabou
animeType	ONA
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	5.68
animeUsers	811
animeRank	
animePopularity	6901
animeDescription	Short specials posted on the official Twitter account focused on main cast of Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...
animeRelated	['Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...']
animeCharacters	['Stuart, Geordo']
animeVoices	[]
animeStaff	[['Yoshitomo', 'Character Design']]
