animeTitle	b'Sekaiichi Hatsukoi: Valentine-hen'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.82
animeUsers	15821
animeRank	
animePopularity	
animeDescription	"b'Animated short with an original story that was screened alongside ""Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai.""'"
animeRelated	[b'Sekaiichi Hatsukoi', b'Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai']
animeCharacters	[b'Onodera, Ritsu', b'Kisa, Shouta', b'Yukina, Kou', b'Hatori, Yoshiyuki', b'Yokozawa, Takafumi', b'Yoshino, Chiaki', b'Kirishima, Zen', b'Takano, Masamune', b'Kirishima, Hiyori']
animeVoices	[b'\nKondou, Takashi\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nMaeno, Tomoaki\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nHoriuchi, Kenyuu\nJapanese\n', b'\nTachibana, Shinnosuke\nJapanese\n', b'\nFuruya, Toru\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKita, Shuhei\n\nTheme Song Performance\n\n', b'\nNakamura, Shungiku\n\nOriginal Creator\n\n']
