animeTitle	b'Kasumin'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.37
animeUsers	134
animeRank	
animePopularity	
animeDescription	"b'Haruno Kasumi is a fourth-grader. Her parents are zoologists who went over to Africa to carry out their research studies. In order to see off her parents, Kasumi arrived at Kasumi Town. In the middle of the town lies an enormous mansion surrounded by the forest. The mansion belongs to the Kasumi household, the family in which Kasumi will be lodging in and taken care of. There is a mysterious aura about the mansion and Kasumi discovers a series of talking appliances. The Kasumi family refers to these creatures as ""Henamon"". In return for living in with the family, Kasumi will be helping out with the household chores such as cooking and washing. Surrounded by various interesting characters, Kasumi begins a new chapter in her life.\n\n(Source: ANN)'"
animeRelated	[b'Kasumin 2nd Season']
animeCharacters	[b'Haruno, Kasumi', b'Ryuunosuke', b'Haniwa-fujin', b'Nurezoukin', b'Chintarou', b'Arai-san', b'Potopotto', b'Kasumi, Sentarou', b'Kasumi, Sanzaemon', b'Kasumi, Sakurame']
animeVoices	[b'\nMizuhashi, Kaori\nJapanese\n', b'\nUmezu, Hideyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHongou, Mitsuru\n\nDirector, Episode Director, Storyboard\n\n', b'\nKonaka, Chiaki\n\nScript\n\n', b'\nYuasa, Masaaki\n\nSetting\n\n', b'\nUmakoshi, Yoshihiko\n\nCharacter Design\n\n']
