animeTitle	God Eater
animeType	TV
animeNumEpisode	13
releaseDate	2015-07-12 00:00:00
endDate	2016-03-26 00:00:00
animeNumMembers	
animeScore	7.24
animeUsers	212405
animeRank	
animePopularity	338
animeDescription	"The year is 2071. Humanity has been pushed to the brink of extinction following the emergence of man-eating monsters called ""Aragami"" that boast an immunity to conventional weaponry. They ravaged the land, consuming almost everything in their path and leaving nothing in their wake. To combat them, an organization named Fenrir was formed as a last-ditch effort to save humanity through the use of ""God Eaters""—special humans infused with Oracle cells, allowing them to wield the God Arc, the only known weapon capable of killing an Aragami. One such God Eater is Lenka Utsugi, a New-Type whose God Arc takes the form of both blade and gun.

Now, as one of Fenrir's greatest weapons, Lenka must master his God Arc if he is to fulfill his desire of wiping out the Aragami once and for all. The monsters continue to be born en masse while the remnants of humanity struggle to survive the night. Only God Eaters stand between the Aragami and complete and total annihilation of the human race.

[Written by MAL Rewrite]"
animeRelated	['God Eater Prologue', 'God Eater Reso Nantoka Gekijou']
animeCharacters	['Illinichina Amiella, Alisa', 'Utsugi, Lenka', 'Amamiya, Rindou', 'Schicksal, Souma', 'Tachibana, Sakuya', 'Fujiki, Kouta', 'Utsugi, Iroha', 'Amamiya, Tsubaki', 'Kusunoki, Rikka', 'Shio']
animeVoices	['Sakamoto, Maaya', 'Kijima, Ryuuichi', 'Hirata, Hiroaki', 'Nakai, Kazuya', 'Ohara, Sayaka', 'Sakaguchi, Daisuke', 'Kakuma, Ai', 'Tanaka, Atsuko', 'Omigawa, Chiaki']
animeStaff	[['Kondou, Hikaru', 'Producer, Planning'], ['Hirao, Takayuki', 'Director, Sound Director, Episode Director, Storyboard, Theme Song Lyrics'], ['Shirai, Toshiyuki', 'Episode Director, 2nd Key Animation, Key Animation'], ['Suhara, Takashi', 'Episode Director, Key Animation']]
